id,client_id,job_id,arrival_time,end_time,job_time,queue_time
2398,5,226,1573771426.2637,1573771429.71726,2.03754115104675,1.41601800918579
2399,9,233,1573771426.42832,1573771430.6071,2.08645009994507,2.09233212471008
2400,0,219,1573771426.68965,1573771430.70196,2.07977652549744,1.93253374099731
2401,7,240,1573771426.742,1573771431.11779,2.05715894699097,2.3186240196228
2402,1,246,1573771426.88152,1573771431.32676,2.06255459785461,2.3826847076416
2403,1,247,1573771427.16995,1573771431.36619,2.06704497337341,2.12919187545776
2404,3,246,1573771427.3113,1573771431.58641,2.05293369293213,2.22218012809753
2405,5,227,1573771427.51649,1573771431.59525,2.03879237174988,2.03996539115906
2406,7,241,1573771427.57563,1573771431.75635,2.02717161178589,2.15354251861572
2407,4,246,1573771427.92291,1573771432.68529,2.06684613227844,2.69553637504578
2408,7,242,1573771428.27117,1573771432.78333,2.06922221183777,2.44293403625488
2409,3,247,1573771428.2893,1573771433.17068,2.04169678688049,2.83968687057495
2410,5,228,1573771428.58005,1573771433.42847,2.08999586105347,2.7584228515625
2411,7,243,1573771428.67886,1573771433.44332,2.0648021697998,2.69965815544128
2412,5,229,1573771429.07543,1573771433.64998,2.04397559165955,2.53057050704956
2413,1,248,1573771428.93688,1573771433.67372,2.07582354545593,2.66101241111755
2414,1,249,1573771429.19256,1573771433.81616,2.04861402511597,2.57498645782471
2415,0,220,1573771429.37233,1573771434.75391,2.056560754776,3.32501554489136
2416,7,244,1573771429.81641,1573771434.83513,2.04109621047974,2.97762680053711
2417,1,250,1573771430.83688,1573771435.24169,2.05912232398987,2.34568667411804
2418,7,245,1573771430.84323,1573771435.48921,2.04828405380249,2.59769654273987
2419,2,246,1573771430.9571,1573771435.49677,2.03987836837769,2.49978923797607
2420,2,246,1573771430.9571,1573771435.49677,2.03987836837769,2.49978923797607
2421,7,246,1573771431.36579,1573771435.72722,2.06512498855591,2.29629945755005
2422,5,230,1573771432.06323,1573771435.79961,2.11318898200989,1.62319898605347
2423,0,221,1573771432.18964,1573771435.85621,2.02817225456238,1.63839745521545
2424,4,247,1573771432.19426,1573771436.89013,2.12487292289734,2.57099199295044
2425,3,248,1573771432.39281,1573771436.91782,2.07002091407776,2.45499038696289
2426,4,248,1573771432.52,1573771437.33416,2.08026385307312,2.73389196395874
2427,9,234,1573771432.91132,1573771437.55269,2.04100227355957,2.6003692150116
2428,1,251,1573771432.93797,1573771437.58006,2.05564498901367,2.58644533157349
2429,9,235,1573771432.98327,1573771437.80835,2.06869125366211,2.75638628005981
2430,2,247,1573771433.227,1573771437.89882,2.08718085289001,2.58464002609253
2431,6,235,1573771433.41289,1573771437.93894,2.07184791564941,2.45419430732727
2432,2,248,1573771433.44848,1573771438.98099,2.07867383956909,3.45383358001709
2433,5,231,1573771433.73238,1573771439.0045,2.07412147521973,3.19799089431763
2434,4,249,1573771434.02139,1573771439.4324,2.08666801452637,3.32434320449829
2435,2,249,1573771434.89704,1573771439.59647,2.03230857849121,2.66712117195129
2436,5,232,1573771435.24449,1573771439.67913,2.08700847625732,2.3476390838623
2437,1,252,1573771435.38033,1573771439.86203,2.04248189926147,2.43921971321106
2438,7,247,1573771436.17129,1573771439.97725,2.0274510383606,1.77850270271301
2439,7,247,1573771436.17129,1573771439.97725,2.0274510383606,1.77850270271301
2440,7,248,1573771436.20738,1573771441.07065,2.07811665534973,2.78515219688416
2441,4,250,1573771437.28794,1573771441.07984,2.06352162361145,1.72837519645691
2442,8,240,1573771437.43338,1573771441.55563,2.11171293258667,2.01053881645203
2443,6,236,1573771438.02006,1573771441.64369,2.03552222251892,1.58810615539551
2444,7,249,1573771438.121,1573771441.7555,2.06427240371704,1.57023167610168
