id,client_id,job_id,arrival_time,end_time,job_time,queue_time,total_time
781,2,83,1573775685.67849,1573775687.81029,1.99990940093994,0.131889820098877,2.13179922103882
782,8,94,1573775686.12919,1573775688.65463,1.94707083702087,0.578370571136475,2.52544140815735
783,2,84,1573775686.59586,1573775688.91951,1.96847629547119,0.355173826217651,2.32365012168884
784,8,95,1573775686.80912,1573775689.06474,1.95864963531494,0.296962261199951,2.25561189651489
785,0,89,1573775686.99732,1573775689.16148,1.94064855575562,0.223509073257446,2.16415762901306
786,0,90,1573775687.65743,1573775689.61272,1.95234441757202,0.00294399261474609,1.95528841018677
787,5,63,1573775688.58576,1573775690.62456,2.03554749488831,0.00324702262878418,2.03879451751709
788,2,85,1573775688.65682,1573775690.67101,2.01138114929199,0.00281214714050293,2.0141932964325
789,4,78,1573775688.83383,1573775690.87189,2.03523516654968,0.00282406806945801,2.03805923461914
790,4,79,1573775688.90239,1573775690.95103,2.04583191871643,0.00279951095581055,2.04863142967224
791,9,58,1573775688.95616,1573775690.98594,2.02733731269836,0.00245022773742676,2.02978754043579
792,6,68,1573775689.11816,1573775691.12605,2.0049524307251,0.00294089317321777,2.00789332389832
793,4,80,1573775689.46141,1573775691.48981,2.02591729164124,0.00248146057128906,2.02839875221252
794,5,64,1573775690.0922,1573775692.12056,2.02550196647644,0.00285625457763672,2.02835822105408
795,1,86,1573775690.23463,1573775692.67554,2.03827953338623,0.40262770652771,2.44090723991394
796,7,65,1573775690.27174,1573775692.71255,2.03007483482361,0.410739421844482,2.44081425666809
797,1,87,1573775690.27306,1573775692.90867,2.0257556438446,0.609853029251099,2.6356086730957
798,9,59,1573775690.35849,1573775692.99322,2.03136420249939,0.603360176086426,2.63472437858582
799,5,65,1573775690.48746,1573775693.03398,2.03670430183411,0.509809494018555,2.54651379585266
800,5,66,1573775691.10003,1573775693.16064,2.02253675460815,0.0380733013153076,2.06061005592346
801,2,86,1573775691.45805,1573775693.47276,1.97042655944824,0.0442864894866943,2.01471304893494
802,7,66,1573775692.49056,1573775694.38573,1.89235901832581,0.00280117988586426,1.89516019821167
803,3,92,1573775692.82647,1573775694.7082,1.87923455238342,0.00249767303466797,1.88173222541809
804,0,91,1573775692.90985,1573775694.76507,1.85232305526733,0.00288844108581543,1.85521149635315
805,3,93,1573775693.74947,1573775695.59535,1.84327244758606,0.00260305404663086,1.84587550163269
806,6,69,1573775694.53012,1573775696.43837,1.90550851821899,0.00273990631103516,1.90824842453003
807,2,87,1573775694.65708,1573775696.54186,1.88152575492859,0.00326061248779297,1.88478636741638
808,8,96,1573775694.81379,1573775696.69616,1.87983131408691,0.00254249572753906,1.88237380981445
809,5,67,1573775695.28771,1573775697.17906,1.8882360458374,0.00310850143432617,1.89134454727173
810,6,70,1573775695.65106,1573775697.55652,1.90248370170593,0.00298070907592773,1.90546441078186
811,5,68,1573775696.09804,1573775698.04177,1.9409875869751,0.00274491310119629,1.94373250007629
812,7,67,1573775696.52045,1573775698.43681,1.9135799407959,0.00277376174926758,1.91635370254517
813,0,92,1573775696.66697,1573775698.60512,1.93517637252808,0.0029757022857666,1.93815207481384
814,0,93,1573775697.13821,1573775699.03478,1.89357233047485,0.00300049781799316,1.89657282829285
815,6,71,1573775697.15559,1573775699.06165,1.90276670455933,0.00329041481018066,1.90605711936951
816,0,94,1573775697.28541,1573775699.16656,1.87863326072693,0.00252223014831543,1.88115549087524
817,3,94,1573775698.27121,1573775700.1062,1.83167600631714,0.0033113956451416,1.83498740196228
818,0,95,1573775699.48986,1573775701.34638,1.85372519493103,0.00279593467712402,1.85652112960815
819,2,88,1573775699.85737,1573775701.7129,1.85283064842224,0.00270175933837891,1.85553240776062
820,2,89,1573775700.32345,1573775702.11925,1.79326438903809,0.00253438949584961,1.79579877853394
821,5,69,1573775700.50113,1573775702.32296,1.81876969337463,0.00305914878845215,1.82182884216309
822,6,72,1573775702.55518,1573775704.45945,1.9016273021698,0.00264286994934082,1.90427017211914
823,2,90,1573775703.18151,1573775705.16383,1.97968745231628,0.00262832641601562,1.9823157787323
824,1,88,1573775703.32309,1573775705.32615,2.0005955696106,0.00245809555053711,2.00305366516113
825,4,81,1573775703.59158,1573775705.60752,2.01331472396851,0.00262212753295898,2.01593685150146
826,9,60,1573775703.63255,1573775705.63285,1.99769186973572,0.00261187553405762,2.00030374526978
827,0,96,1573775703.70384,1573775705.71191,2.00502324104309,0.00304889678955078,2.00807213783264
828,1,89,1573775703.78474,1573775705.80946,2.02229928970337,0.00241637229919434,2.02471566200256
829,6,73,1573775703.8635,1573775705.89447,2.02860164642334,0.00236010551452637,2.03096175193787
830,5,70,1573775704.17316,1573775706.50289,2.03263401985168,0.297092914581299,2.32972693443298
831,8,97,1573775704.26918,1573775707.25816,2.08259797096252,0.906380891799927,2.98897886276245
832,0,97,1573775704.30067,1573775707.41026,2.07301688194275,1.03657293319702,3.10958981513977
833,5,71,1573775704.54778,1573775707.64266,2.02392435073853,1.07095170021057,3.0948760509491
834,3,95,1573775704.6608,1573775707.65131,2.0073401927948,0.983165264129639,2.99050545692444
835,6,74,1573775705.10731,1573775707.74274,2.02020764350891,0.615219116210938,2.63542675971985
836,3,96,1573775705.25971,1573775707.8323,2.01207137107849,0.560513257980347,2.57258462905884
837,0,98,1573775705.39633,1573775707.97931,2.0728223323822,0.510155916213989,2.58297824859619
838,0,99,1573775705.46446,1573775708.56088,2.04435729980469,1.05206060409546,3.09641790390015
839,5,72,1573775705.89109,1573775709.3007,2.02874445915222,1.38086366653442,3.40960812568665
840,0,100,1573775706.13151,1573775709.47146,2.04847431182861,1.2914662361145,3.33994054794312
841,9,61,1573775706.77882,1573775709.66476,2.00223565101624,0.883702039718628,2.88593769073486
842,2,91,1573775706.51894,1573775709.70382,2.04946398735046,1.13541746139526,3.18488144874573
843,4,82,1573775707.00166,1573775709.76427,2.01072025299072,0.751883506774902,2.76260375976562
844,1,90,1573775707.37195,1573775709.80544,1.96022891998291,0.473265171051025,2.43349409103394
845,3,97,1573775707.40976,1573775709.95883,1.967937707901,0.581135511398315,2.54907321929932
846,2,92,1573775709.17521,1573775711.02086,1.84296751022339,0.0026853084564209,1.84565281867981
847,8,98,1573775709.83333,1573775711.65329,1.8174946308136,0.00245952606201172,1.81995415687561
848,4,83,1573775710.5976,1573775712.43868,1.83837556838989,0.00271129608154297,1.84108686447144
849,7,68,1573775711.21759,1573775713.06643,1.84612107276917,0.00272107124328613,1.84884214401245
850,3,98,1573775711.53011,1573775713.38,1.84680414199829,0.00309300422668457,1.84989714622498
851,2,93,1573775711.63021,1573775713.50391,1.87080478668213,0.00289344787597656,1.87369823455811
852,1,91,1573775712.11808,1573775714.03053,1.90995955467224,0.00249338150024414,1.91245293617249
853,3,99,1573775712.7946,1573775714.7401,1.94240093231201,0.00309300422668457,1.9454939365387
854,2,94,1573775713.03694,1573775714.97842,1.93855285644531,0.00292706489562988,1.94147992134094
855,3,100,1573775713.47989,1573775715.49483,2.01187324523926,0.00306272506713867,2.0149359703064
856,2,95,1573775713.6909,1573775715.71658,2.02247262001038,0.00321316719055176,2.02568578720093
857,8,99,1573775713.83154,1573775715.90915,2.07458806037903,0.00302934646606445,2.07761740684509
858,8,99,1573775713.83154,1573775715.90915,2.07458806037903,0.00302934646606445,2.07761740684509
859,6,75,1573775714.00334,1573775716.05012,2.00874638557434,0.0380239486694336,2.04677033424377
860,8,100,1573775713.97737,1573775716.05673,2.07676124572754,0.00260019302368164,2.07936143875122
861,8,100,1573775713.97737,1573775716.05673,2.07676124572754,0.00260019302368164,2.07936143875122
862,1,92,1573775714.38003,1573775716.70453,1.95271587371826,0.371792554855347,2.32450842857361
863,1,93,1573775714.40308,1573775716.95613,1.96690702438355,0.586144685745239,2.55305171012878
864,9,62,1573775714.46282,1573775717.38163,1.87450122833252,1.04430484771729,2.9188060760498
865,4,84,1573775716.10362,1573775717.90409,1.79790163040161,0.0025639533996582,1.80046558380127
866,3,101,1573775718.16095,1573775719.98942,1.82555294036865,0.0029146671295166,1.82846760749817
867,9,63,1573775718.24361,1573775720.10774,1.86098456382751,0.003143310546875,1.86412787437439
868,3,102,1573775718.71094,1573775720.57695,1.86327195167542,0.00274133682250977,1.86601328849792
869,3,103,1573775718.84041,1573775720.69885,1.85586738586426,0.00257039070129395,1.85843777656555
870,0,101,1573775719.08429,1573775720.92835,1.84109044075012,0.00297021865844727,1.84406065940857
871,6,76,1573775720.11959,1573775721.91145,1.78808164596558,0.00377988815307617,1.79186153411865
872,7,69,1573775720.77967,1573775722.57727,1.79504823684692,0.00255155563354492,1.79759979248047
873,9,64,1573775722.39586,1573775724.30419,1.90569424629211,0.00263500213623047,1.90832924842834
874,3,104,1573775722.47632,1573775724.44323,1.96358132362366,0.00332760810852051,1.96690893173218
875,4,85,1573775722.59105,1573775724.54292,1.9493579864502,0.00250601768493652,1.95186400413513
