id,client_id,job_id,start_time,end_time,duration
2311,5,240,1573751522.57491,1573751524.42425,1.84934377670288
2312,9,236,1573751522.97425,1573751524.82456,1.85030841827393
2313,5,241,1573751524.32481,1573751526.10158,1.77677726745605
2314,6,220,1573751524.3529,1573751526.13208,1.77917790412903
2315,8,241,1573751525.99972,1573751527.80509,1.80537509918213
2316,3,235,1573751526.19457,1573751527.9947,1.8001344203949
2317,9,237,1573751527.6408,1573751529.54207,1.90127491950989
2318,7,250,1573751527.67116,1573751529.58834,1.91718292236328
2319,3,236,1573751527.97138,1573751529.91008,1.93869519233704
2320,4,237,1573751528.83694,1573751530.80419,1.96724915504456
2321,8,242,1573751528.90483,1573751530.89806,1.99323105812073
2322,9,238,1573751529.01099,1573751530.97752,1.96653699874878
2323,7,252,1573751529.19116,1573751531.16215,1.97099232673645
2324,6,221,1573751530.16981,1573751532.06264,1.8928394317627
2325,2,201,1573751530.42544,1573751532.36831,1.94286847114563
2326,1,241,1573751530.63611,1573751532.54247,1.90635538101196
2327,5,242,1573751531.24603,1573751533.12014,1.87410593032837
2328,9,239,1573751531.32515,1573751533.22295,1.89779829978943
2329,0,231,1573751532.07088,1573751533.94904,1.87816143035889
2330,9,240,1573751532.11638,1573751533.95766,1.84128713607788
2331,2,202,1573751532.17947,1573751534.03154,1.85206651687622
2332,6,222,1573751535.45356,1573751537.22068,1.76712536811829
2333,9,241,1573751537.11532,1573751538.89652,1.78120350837708
2334,5,243,1573751537.40699,1573751539.25442,1.84743142127991
2335,8,243,1573751537.86617,1573751539.72237,1.85620212554932
2336,9,242,1573751538.46039,1573751540.35842,1.89803123474121
2337,0,232,1573751538.74034,1573751540.65193,1.91159391403198
2338,9,243,1573751539.43629,1573751541.35216,1.91587281227112
2339,2,203,1573751539.52854,1573751541.44039,1.91185474395752
2340,8,244,1573751539.5354,1573751541.47197,1.93656849861145
2341,2,204,1573751540.13859,1573751542.01737,1.87878322601318
2342,8,245,1573751540.5268,1573751542.38738,1.86058115959167
2343,4,238,1573751541.43365,1573751543.22847,1.79482245445251
2344,9,244,1573751543.31676,1573751545.0731,1.75634026527405
2345,9,245,1573751545.01891,1573751546.86705,1.8481342792511
2346,9,246,1573751545.09073,1573751546.96483,1.874107837677
2347,9,247,1573751545.77185,1573751547.70321,1.93135809898376
2348,5,244,1573751546.20099,1573751548.18784,1.98685121536255
2349,6,223,1573751546.51346,1573751548.48291,1.96944570541382
2350,2,205,1573751546.52681,1573751548.50729,1.98048710823059
2351,1,243,1573751546.76802,1573751548.74895,1.98093891143799
2352,6,224,1573751547.00277,1573751548.93481,1.932044506073
2353,7,253,1573751547.76359,1573751549.68072,1.91712927818298
2354,7,254,1573751548.15766,1573751550.05161,1.89394807815552
2355,0,233,1573751548.59605,1573751550.46395,1.86790013313293
2356,4,239,1573751548.71395,1573751550.5674,1.85345339775085
2357,9,248,1573751549.17596,1573751550.99373,1.81776905059814
2358,0,234,1573751551.3592,1573751553.17651,1.81731295585632
2359,0,235,1573751552.05011,1573751553.92688,1.87677025794983
2360,0,236,1573751552.18503,1573751554.05513,1.87010192871094
2361,3,237,1573751552.36515,1573751554.25211,1.88695907592773
2362,9,249,1573751552.52129,1573751554.38471,1.86341667175293
2363,3,238,1573751552.75904,1573751554.60375,1.84471583366394
2364,6,225,1573751553.86899,1573751555.67946,1.81047081947327
2365,5,245,1573751554.35621,1573751556.16833,1.8121190071106
2366,1,244,1573751556.25708,1573751558.19197,1.93488550186157
2367,6,226,1573751556.32082,1573751558.21108,1.89026379585266
2368,8,246,1573751556.38377,1573751558.32127,1.93749976158142
2369,2,206,1573751556.63615,1573751558.53957,1.90341925621033
2370,6,227,1573751556.94959,1573751558.87744,1.92784523963928
2371,8,247,1573751557.55954,1573751559.42706,1.867516040802
2372,5,246,1573751558.17419,1573751560.0865,1.9123067855835
2373,4,240,1573751558.79758,1573751560.79051,1.99293446540833
2374,6,228,1573751559.3754,1573751561.42264,2.04723596572876
2375,1,245,1573751559.59533,1573751561.66094,2.06560206413269
2376,9,250,1573751559.87876,1573751561.9378,2.05904197692871
2377,0,237,1573751560.39264,1573751562.43676,2.04412078857422
2378,8,248,1573751560.40465,1573751562.46408,2.05942916870117
2379,9,251,1573751560.75602,1573751562.77616,2.02014470100403
2380,6,229,1573751561.35971,1573751563.38393,2.02422142028809
2381,2,207,1573751561.68253,1573751563.68526,2.00273132324219
2382,1,246,1573751561.93709,1573751563.91166,1.97457766532898
2383,9,252,1573751562.68035,1573751564.54783,1.86748385429382
2384,0,238,1573751565.28418,1573751567.15351,1.86932158470154
2385,3,239,1573751565.5641,1573751567.43842,1.87431573867798
2386,2,208,1573751565.70813,1573751567.57903,1.87090158462524
2387,9,253,1573751566.09116,1573751567.96712,1.87596583366394
2388,9,254,1573751566.25235,1573751568.13013,1.8777756690979
2389,8,249,1573751568.49868,1573751570.31305,1.81436800956726
2390,6,230,1573751568.97719,1573751570.76555,1.78835916519165
2391,2,209,1573751570.80525,1573751572.66042,1.85516691207886
2392,8,250,1573751571.06935,1573751572.91704,1.84769296646118
2393,5,247,1573751571.65413,1573751573.52547,1.87133598327637
2394,6,231,1573751572.13874,1573751574.00368,1.86493945121765
2395,9,255,1573751572.2599,1573751574.12997,1.87007021903992
2396,4,241,1573751573.07507,1573751574.91738,1.84230875968933
2397,2,210,1573751573.66359,1573751575.47279,1.80920934677124
2398,7,255,1573751577.1789,1573751579.04125,1.86235237121582
2399,9,256,1573751577.79988,1573751579.78347,1.9835901260376
2400,1,247,1573751577.89202,1573751579.86095,1.96892833709717
2401,1,248,1573751577.91537,1573751579.94376,2.02839040756226
2402,9,257,1573751578.07949,1573751580.0718,1.99230694770813
2403,7,256,1573751578.088,1573751580.07989,1.99188637733459
2404,0,239,1573751578.60207,1573751580.56991,1.96784043312073
2405,5,248,1573751578.75697,1573751580.74923,1.99226498603821
2406,1,249,1573751579.14298,1573751581.09307,1.95008420944214
2407,3,240,1573751579.94953,1573751581.84785,1.89831757545471
2408,3,241,1573751580.20293,1573751582.10108,1.89814829826355
2409,8,251,1573751580.68655,1573751582.54865,1.86209678649902
2410,7,257,1573751580.82438,1573751582.67016,1.84578895568848
2411,0,240,1573751581.6664,1573751583.51483,1.84842967987061
2412,8,252,1573751582.19718,1573751584.06051,1.86332821846008
2413,8,253,1573751582.8075,1573751584.63751,1.83001446723938
2414,1,250,1573751583.08542,1573751584.97837,1.89294362068176
2415,8,254,1573751583.27646,1573751585.13737,1.86090779304504
2416,9,258,1573751583.95601,1573751585.80726,1.85125017166138
2417,5,249,1573751584.49706,1573751586.30034,1.80327153205872
2418,7,258,1573751585.6128,1573751587.46321,1.85040950775146
2419,4,242,1573751586.67496,1573751588.51476,1.83980464935303
2420,0,241,1573751586.84461,1573751588.71323,1.86861777305603
2421,0,242,1573751587.06187,1573751588.92467,1.86280274391174
2422,7,259,1573751587.2493,1573751589.1023,1.85299777984619
2423,4,243,1573751587.97413,1573751589.8307,1.85657453536987
2424,0,243,1573751588.56379,1573751590.44002,1.87623262405396
2425,9,259,1573751589.25541,1573751591.16866,1.91324973106384
2426,0,244,1573751589.30177,1573751591.20879,1.90702533721924
2427,0,245,1573751589.36858,1573751591.26782,1.89924240112305
2428,9,260,1573751590.19431,1573751592.08816,1.89384436607361
2429,6,232,1573751590.56226,1573751592.48354,1.92128443717957
2430,3,242,1573751590.61961,1573751592.55765,1.93804287910461
2431,2,211,1573751590.92597,1573751592.84246,1.91649532318115
2432,4,244,1573751591.09233,1573751592.98087,1.88853812217712
2433,8,255,1573751592.20701,1573751594.0182,1.81119179725647
2434,5,250,1573751593.51739,1573751595.36113,1.8437340259552
2435,3,243,1573751593.56932,1573751595.40853,1.83921027183533
2436,6,233,1573751594.03753,1573751595.87181,1.83428192138672
2437,5,251,1573751595.00776,1573751596.88072,1.87296557426453
2438,4,245,1573751595.44553,1573751597.36759,1.92205929756165
2439,8,256,1573751595.62052,1573751597.54961,1.92909002304077
2440,0,246,1573751595.64277,1573751597.57272,1.92994713783264
2441,3,244,1573751595.87678,1573751597.80901,1.93223428726196
2442,9,261,1573751596.23079,1573751598.13167,1.90088391304016
2443,9,262,1573751596.86787,1573751598.73654,1.86867475509644
2444,6,234,1573751596.95525,1573751598.81797,1.86272668838501
2445,9,263,1573751598.03178,1573751599.84546,1.81368398666382
2446,5,252,1573751599.09871,1573751600.93893,1.84021377563477
2447,2,212,1573751599.97843,1573751601.82639,1.84796404838562
2448,4,246,1573751600.15796,1573751601.99254,1.83458304405212
2449,5,253,1573751600.34946,1573751602.19886,1.84939908981323
2450,8,257,1573751601.61253,1573751603.46661,1.85408115386963
2451,9,264,1573751602.14731,1573751603.99343,1.84612202644348
2452,9,265,1573751602.17728,1573751604.01808,1.84079813957214
2453,7,260,1573751602.45536,1573751604.31009,1.85472893714905
2454,0,247,1573751603.70429,1573751605.52549,1.82120299339294
2455,0,248,1573751604.41061,1573751606.21358,1.80297446250916
2456,2,213,1573751604.41154,1573751606.23211,1.82056760787964
2457,9,266,1573751604.77043,1573751606.63357,1.86314582824707
2458,0,249,1573751606.42218,1573751608.28334,1.86115694046021
2459,1,251,1573751606.53395,1573751608.39921,1.86525654792786
2460,2,214,1573751607.51907,1573751609.46551,1.94643592834473
2461,4,247,1573751607.54303,1573751609.5218,1.97876715660095
2462,9,267,1573751607.70048,1573751609.66764,1.9671585559845
2463,0,250,1573751607.79851,1573751609.74513,1.94662094116211
2464,3,245,1573751608.13916,1573751610.07958,1.94042205810547
2465,1,252,1573751608.41833,1573751610.35013,1.93180751800537
2466,1,253,1573751608.51223,1573751610.43917,1.92693686485291
2467,4,248,1573751609.35256,1573751611.19422,1.84166097640991
2468,2,215,1573751610.73139,1573751612.58367,1.85228037834167
2469,6,235,1573751610.76773,1573751612.61923,1.85150337219238
2470,2,216,1573751611.4778,1573751613.33352,1.85572218894959
2471,8,258,1573751611.70433,1573751613.56282,1.85849833488464
2472,8,259,1573751612.08743,1573751613.95159,1.86415576934814
2473,2,217,1573751612.27792,1573751614.11071,1.83279347419739
2474,9,268,1573751613.92008,1573751615.70198,1.7818922996521
2475,9,269,1573751615.18771,1573751617.02239,1.83467769622803
2476,4,249,1573751615.56726,1573751617.45086,1.88360691070557
2477,0,251,1573751615.93482,1573751617.85684,1.92201614379883
2478,5,254,1573751616.39793,1573751618.35301,1.95507574081421
2479,3,246,1573751616.48916,1573751618.4593,1.97013354301453
2480,5,255,1573751616.61548,1573751618.58304,1.9675624370575
2481,0,252,1573751617.30445,1573751619.23524,1.93079328536987
2482,2,218,1573751617.30192,1573751619.25052,1.94860601425171
2483,2,219,1573751617.38324,1573751619.33069,1.94744539260864
2484,1,254,1573751617.97178,1573751619.89411,1.92233014106751
2485,8,260,1573751618.27786,1573751620.18498,1.90712070465088
2486,4,250,1573751619.4353,1573751621.23787,1.80256581306458
2487,4,251,1573751619.85301,1573751621.69561,1.84259867668152
2488,3,247,1573751620.35151,1573751622.15912,1.80760669708252
2489,3,248,1573751620.76678,1573751622.62365,1.85687232017517
2490,8,261,1573751621.75737,1573751623.66754,1.91017079353333
2491,1,255,1573751622.1388,1573751624.0381,1.89929628372192
2492,8,262,1573751622.2354,1573751624.13243,1.89702701568604
2493,3,250,1573751622.50236,1573751624.41142,1.90905785560608
2494,9,270,1573751622.75048,1573751624.64838,1.8978910446167
2495,9,271,1573751624.0775,1573751625.90715,1.82965087890625
2496,8,263,1573751625.25898,1573751627.08336,1.82438158988953
2497,5,256,1573751625.35309,1573751627.1749,1.82181668281555
2498,4,252,1573751625.49892,1573751627.32019,1.82126879692078
2499,8,264,1573751626.11087,1573751627.9382,1.8273286819458
2500,0,253,1573751627.65655,1573751629.48524,1.82868957519531
2501,4,253,1573751627.80649,1573751629.66751,1.86101603507996
2502,3,251,1573751628.12365,1573751629.99279,1.86913919448853
2503,4,254,1573751628.86689,1573751630.733,1.86610674858093
2504,6,236,1573751628.86237,1573751630.74421,1.88183879852295
2505,8,265,1573751629.39707,1573751631.26423,1.86715960502625
