id,client_id,job_id,start_time,end_time,duration
304,0,23,1573748261.12644,1573748263.4646,2.33815550804138
305,1,25,1573748261.31718,1573748263.6708,2.3536229133606
306,1,26,1573748261.42006,1573748263.77964,2.35957431793213
307,4,38,1573748261.54069,1573748263.90722,2.36652994155884
308,8,29,1573748261.73751,1573748263.94399,2.20648074150085
309,2,31,1573748261.70083,1573748263.98952,2.28868985176086
310,3,27,1573748262.51245,1573748264.82021,2.30775499343872
311,5,45,1573748262.52456,1573748265.74241,3.21785378456116
312,8,30,1573748263.04596,1573748265.88818,2.84221696853638
313,5,46,1573748263.42225,1573748266.03068,2.6084258556366
314,3,28,1573748263.90284,1573748266.04728,2.14443874359131
315,3,29,1573748264.28626,1573748266.4441,2.15784001350403
316,3,30,1573748264.5494,1573748266.65164,2.10224509239197
317,3,31,1573748265.04785,1573748267.09898,2.05113649368286
318,5,47,1573748265.79988,1573748267.82866,2.02878165245056
319,8,32,1573748266.11721,1573748268.13629,2.01908326148987
320,8,31,1573748266.09407,1573748268.15266,2.05859017372131
321,3,32,1573748266.23078,1573748268.26348,2.03270220756531
322,9,31,1573748266.38135,1573748268.4199,2.03854894638062
323,4,39,1573748267.16005,1573748269.15191,1.9918577671051
324,1,28,1573748267.29926,1573748269.28154,1.9822826385498
325,1,29,1573748267.41129,1573748269.40226,1.99097084999084
326,5,48,1573748267.55861,1573748269.75892,2.20030999183655
327,1,30,1573748268.83062,1573748270.70087,1.87024974822998
328,6,23,1573748268.88175,1573748270.74707,1.86531615257263
329,9,32,1573748270.03827,1573748271.90966,1.87138104438782
330,6,24,1573748270.25921,1573748272.21194,1.95273303985596
331,9,33,1573748270.82254,1573748272.81977,1.99723291397095
332,5,49,1573748270.8319,1573748272.879,2.04710412025452
333,5,50,1573748270.87812,1573748272.9062,2.028080701828
334,2,32,1573748271.87562,1573748274.06453,2.18890953063965
335,3,33,1573748272.0258,1573748274.14266,2.11686086654663
336,5,51,1573748272.47234,1573748274.52375,2.05140471458435
337,7,32,1573748272.92095,1573748274.93184,2.01089072227478
338,3,34,1573748273.47144,1573748275.40607,1.93463611602783
339,8,33,1573748275.78528,1573748277.61112,1.82583522796631
340,0,24,1573748276.12116,1573748277.92675,1.80559134483337
341,8,34,1573748277.11121,1573748278.96255,1.85133862495422
342,4,40,1573748277.89827,1573748279.7512,1.8529257774353
343,1,31,1573748278.4145,1573748280.2888,1.87429690361023
344,8,35,1573748278.47175,1573748280.30295,1.83120489120483
345,5,52,1573748280.43066,1573748282.25613,1.82547044754028
346,6,25,1573748280.58387,1573748282.46774,1.88386464118958
347,3,35,1573748280.85137,1573748282.75416,1.90278077125549
348,7,33,1573748281.90446,1573748283.82825,1.9237904548645
349,6,26,1573748282.1421,1573748284.03506,1.89296817779541
350,2,33,1573748282.24012,1573748284.1474,1.90728139877319
351,9,34,1573748283.15403,1573748285.09165,1.93761920928955
352,6,27,1573748284.10342,1573748286.07924,1.97581768035889
353,8,36,1573748284.95761,1573748286.94749,1.98988103866577
354,3,36,1573748285.41712,1573748287.42918,2.01206111907959
355,6,28,1573748286.28033,1573748288.30877,2.02843618392944
356,6,29,1573748286.32252,1573748288.35838,2.03585147857666
357,5,53,1573748286.44088,1573748288.51381,2.07293057441711
358,0,25,1573748286.70032,1573748288.75582,2.05550026893616
359,9,35,1573748287.20132,1573748289.26765,2.06632852554321
360,1,32,1573748287.4649,1573748289.56773,2.10283255577087
361,9,36,1573748288.66866,1573748290.74147,2.07281374931335
362,0,26,1573748289.02671,1573748291.01426,1.987553358078
363,2,34,1573748289.13575,1573748291.13587,2.00011849403381
364,5,54,1573748289.84154,1573748291.68843,1.84688496589661
365,6,30,1573748290.84079,1573748292.65432,1.81352949142456
366,7,34,1573748290.96577,1573748292.81435,1.84858584403992
367,1,33,1573748291.99573,1573748293.81643,1.82070159912109
368,6,31,1573748292.83691,1573748294.73928,1.9023745059967
369,6,32,1573748293.37836,1573748295.31716,1.93880271911621
370,9,37,1573748293.47412,1573748295.44421,1.9700984954834
371,6,33,1573748293.56116,1573748295.54191,1.98074793815613
372,6,34,1573748294.03278,1573748295.97828,1.94550013542175
373,1,34,1573748294.5365,1573748296.43168,1.89518141746521
374,7,35,1573748294.75378,1573748296.62668,1.8729031085968
375,9,38,1573748295.5716,1573748297.36746,1.79585766792297
376,9,39,1573748296.4843,1573748298.28655,1.80225157737732
377,4,41,1573748298.25736,1573748300.25268,1.99531555175781
378,5,55,1573748298.34662,1573748300.29363,1.94700336456299
379,3,37,1573748298.53314,1573748300.52387,1.9907374382019
380,7,36,1573748298.55514,1573748300.5467,1.99156451225281
381,1,35,1573748298.713,1573748300.69386,1.98086023330688
382,0,27,1573748299.2257,1573748301.22128,1.99557828903198
383,4,42,1573748299.60421,1573748301.57785,1.97363805770874
384,0,28,1573748299.79681,1573748301.72951,1.93270754814148
385,2,35,1573748300.41988,1573748302.31399,1.89411449432373
386,9,40,1573748301.17666,1573748303.01966,1.84300303459167
387,5,56,1573748303.01673,1573748304.8205,1.80376625061035
388,0,29,1573748303.74885,1573748305.58306,1.83421063423157
389,7,37,1573748304.8904,1573748306.67946,1.7890625
390,2,36,1573748306.50226,1573748308.38763,1.88537096977234
391,4,43,1573748307.20025,1573748309.07785,1.87759280204773
392,5,57,1573748307.50876,1573748309.37182,1.8630588054657
393,0,30,1573748308.14195,1573748309.95342,1.81147217750549
394,3,38,1573748310.27858,1573748312.07086,1.79228234291077
395,1,36,1573748311.04781,1573748312.87307,1.82525992393494
396,5,58,1573748311.84515,1573748313.64832,1.80317139625549
397,2,37,1573748312.21581,1573748314.03536,1.8195526599884
398,8,37,1573748312.84258,1573748314.66101,1.81842708587646
399,8,38,1573748314.54781,1573748316.40474,1.85692954063416
400,7,38,1573748314.69744,1573748316.57867,1.88122534751892
401,1,37,1573748314.86794,1573748316.73738,1.86944508552551
402,6,35,1573748315.40672,1573748317.3109,1.90418457984924
403,3,39,1573748315.92886,1573748317.83634,1.90747785568237
404,6,36,1573748316.3165,1573748318.22251,1.90600943565369
405,7,39,1573748316.48949,1573748318.39451,1.90502333641052
406,2,38,1573748317.40306,1573748319.24632,1.8432514667511
407,8,39,1573748318.22913,1573748320.05766,1.82853174209595
408,7,40,1573748318.53947,1573748320.32668,1.78721022605896
409,1,38,1573748319.31089,1573748321.09267,1.78178763389587
410,8,40,1573748320.96827,1573748322.85436,1.88609480857849
411,7,41,1573748321.04543,1573748322.96865,1.9232189655304
412,1,39,1573748321.29156,1573748323.22468,1.93311834335327
413,7,42,1573748321.69441,1573748323.7032,2.00879502296448
414,2,39,1573748321.82202,1573748323.79699,1.9749710559845
415,2,40,1573748321.85701,1573748323.82743,1.97042584419251
416,1,40,1573748322.731,1573748324.72299,1.99198722839355
417,0,31,1573748322.80691,1573748324.80159,1.99467611312866
418,9,41,1573748323.40799,1573748325.34287,1.93488049507141
419,4,44,1573748323.40479,1573748325.37171,1.9669246673584
420,2,41,1573748323.67594,1573748325.63372,1.95777249336243
421,2,42,1573748324.04598,1573748325.94749,1.90150594711304
422,4,45,1573748325.36968,1573748327.18516,1.81547379493713
423,7,43,1573748326.72856,1573748328.586,1.85743761062622
424,1,41,1573748327.31073,1573748329.10863,1.79789781570435
425,2,43,1573748327.631,1573748329.43848,1.80747652053833
426,6,37,1573748330.80711,1573748332.69239,1.88528037071228
427,3,40,1573748330.98007,1573748332.87367,1.89360213279724
428,8,41,1573748331.19084,1573748333.11357,1.92273688316345
429,4,46,1573748331.26843,1573748333.18074,1.91231060028076
430,3,41,1573748331.98889,1573748333.91509,1.92619895935059
431,8,42,1573748332.62778,1573748334.61269,1.9849066734314
432,1,42,1573748332.86602,1573748334.87656,2.01053762435913
433,8,43,1573748332.89958,1573748334.91123,2.01164293289185
434,3,42,1573748333.25557,1573748335.23981,1.98424243927002
435,9,42,1573748333.69568,1573748335.71743,2.02175450325012
